"","Product_Code","Warehouse","Product_Category","Date","Order_Demand"
"1","Product_1517","Whse_J","Category_019","2014/11/12",200
"2","Product_1987","Whse_J","Category_005","2014/2/28",700
"3","Product_0187","Whse_J","Category_007","2016/1/8",3
"4","Product_1583","Whse_J","Category_005","2014/3/20",100
"5","Product_0110","Whse_J","Category_032","2013/7/19",360
"6","Product_1463","Whse_J","Category_019","2013/12/5",5000
"7","Product_1818","Whse_J","Category_006","2013/1/9",10000
"8","Product_1472","Whse_J","Category_019","2015/8/24",300
"9","Product_1719","Whse_S","Category_003","2015/5/4",54
"10","Product_0917","Whse_S","Category_023","2012/1/16",20
"11","Product_1458","Whse_J","Category_019","2015/9/2",4000
"12","Product_1365","Whse_J","Category_019","2014/4/1",300
"13","Product_1274","Whse_J","Category_019","2016/1/29",5000
"14","Product_1143","Whse_J","Category_009","2015/9/10",500
"15","Product_1287","Whse_J","Category_019","2015/7/27",10000
"16","Product_1294","Whse_J","Category_019","2015/9/30",0
"17","Product_1404","Whse_J","Category_019","2012/12/4",1000
"18","Product_1295","Whse_J","Category_019","2014/2/13",30000
"19","Product_0308","Whse_J","Category_024","2012/7/18",3
"20","Product_1347","Whse_J","Category_019","2016/8/25",3000
"21","Product_1248","Whse_J","Category_019","2012/12/19",1000
"22","Product_1493","Whse_J","Category_019","2012/10/22",5000
"23","Product_1359","Whse_J","Category_019","2013/7/5",7000
"24","Product_1439","Whse_J","Category_019","2015/4/17",1000
"25","Product_1352","Whse_J","Category_019","2016/2/26",1000
"26","Product_1410","Whse_J","Category_019","2014/4/1",500
"27","Product_1997","Whse_J","Category_005","2014/3/26",3000
"28","Product_1312","Whse_J","Category_019","2014/9/4",100
"29","Product_2045","Whse_J","Category_019","2012/5/31",20000
"30","Product_1207","Whse_J","Category_019","2012/11/13",500
"31","Product_0979","Whse_J","Category_028","2012/1/6",200
"32","Product_0533","Whse_S","Category_022","2015/9/3",220
"33","Product_1285","Whse_S","Category_019","2014/10/23",3000
"34","Product_1378","Whse_J","Category_019","2012/9/5",10000
"35","Product_1222","Whse_J","Category_019","2015/4/30",1000
"36","Product_2027","Whse_J","Category_005","2014/1/30",100
"37","Product_1556","Whse_J","Category_019","2012/8/7",1000
"38","Product_1341","Whse_S","Category_019","2012/5/4",50000
"39","Product_1438","Whse_J","Category_019","2015/3/20",10000
"40","Product_1452","Whse_J","Category_019","2016/4/12",100
"41","Product_1150","Whse_J","Category_006","2012/7/17",20000
"42","Product_1359","Whse_J","Category_019","2015/2/25",1000
"43","Product_0315","Whse_J","Category_011","2013/1/28",10
"44","Product_0301","Whse_J","Category_015","2015/5/18",50
"45","Product_1286","Whse_J","Category_019","2012/12/21",500
"46","Product_1970","Whse_J","Category_005","2014/3/31",1000
"47","Product_1259","Whse_J","Category_019","2016/8/31",100
"48","Product_1043","Whse_J","Category_007","2014/4/14",100
"49","Product_1016","Whse_C","Category_007","2016/10/26",5500
"50","Product_0557","Whse_C","Category_030","2014/10/20",2000
"51","Product_1960","Whse_A","Category_029","2016/6/28",1
"52","Product_1378","Whse_J","Category_019","2016/12/22",20000
"53","Product_0463","Whse_C","Category_015","2013/5/8",100
"54","Product_0111","Whse_S","Category_032","2014/6/9",60
"55","Product_0631","Whse_J","Category_001","2016/1/8",10
"56","Product_1936","Whse_J","Category_001","2015/1/7",1
"57","Product_1248","Whse_J","Category_019","2012/2/16",50000
"58","Product_0301","Whse_J","Category_015","2014/7/31",100
"59","Product_0960","Whse_J","Category_028","2013/11/11",1
"60","Product_1795","Whse_J","Category_005","2015/7/8",100
"61","Product_1186","Whse_J","Category_019","2015/2/5",150
"62","Product_2039","Whse_A","Category_011","2012/11/22",2
"63","Product_0664","Whse_J","Category_011","2015/1/22",100
"64","Product_1550","Whse_J","Category_019","2014/10/31",200
"65","Product_1420","Whse_A","Category_019","2014/7/31",1000
"66","Product_1496","Whse_A","Category_019","2014/8/29",1000
"67","Product_1981","Whse_J","Category_005","2015/4/7",300
"68","Product_0613","Whse_J","Category_001","2012/11/15",1
"69","Product_2167","Whse_J","Category_024","2012/2/20",20
"70","Product_2010","Whse_J","Category_005","2016/5/20",2000
"71","Product_1245","Whse_S","Category_019","2014/8/14",200000
"72","Product_0348","Whse_J","Category_021","2012/10/9",100
"73","Product_0248","Whse_J","Category_007","2012/9/26",1
"74","Product_1452","Whse_J","Category_019","2012/7/9",3000
"75","Product_1653","Whse_J","Category_019","2015/12/1",2000
"76","Product_0768","Whse_J","Category_001","2014/10/17",25
"77","Product_0984","Whse_A","Category_028","2013/8/26",1000
"78","Product_1295","Whse_J","Category_019","2016/9/12",5000
"79","Product_1294","Whse_J","Category_019","2012/10/12",1000
"80","Product_1248","Whse_J","Category_019","2014/4/22",50000
"81","Product_1382","Whse_J","Category_019","2015/4/23",10000
"82","Product_0632","Whse_J","Category_001","2016/6/14",1
"83","Product_1341","Whse_S","Category_019","2015/12/15",13000
"84","Product_1470","Whse_A","Category_019","2015/10/6",0
"85","Product_1177","Whse_J","Category_026","2013/1/29",10
"86","Product_1410","Whse_J","Category_019","2014/3/12",300
"87","Product_1307","Whse_J","Category_019","2014/7/4",100
"88","Product_1342","Whse_S","Category_019","2013/2/25",20000
"89","Product_0009","Whse_J","Category_005","2016/8/25",500
"90","Product_0082","Whse_J","Category_019","2012/11/28",5000
"91","Product_1451","Whse_J","Category_019","2013/7/17",5000
"92","Product_1410","Whse_J","Category_019","2015/3/17",500
"93","Product_0139","Whse_J","Category_007","2015/4/30",23
"94","Product_0453","Whse_A","Category_015","2015/4/30",14
"95","Product_1555","Whse_J","Category_019","2015/9/17",200
"96","Product_1248","Whse_J","Category_019","2014/6/23",34000
"97","Product_1023","Whse_J","Category_007","2014/3/14",100
"98","Product_1257","Whse_J","Category_019","2015/5/25",200
"99","Product_0981","Whse_A","Category_028","2012/9/19",400
"100","Product_1532","Whse_J","Category_019","2014/6/4",250
"101","Product_0063","Whse_C","Category_019","2014/2/18",35000
"102","Product_0231","Whse_A","Category_007","2014/5/2",8
"103","Product_0178","Whse_J","Category_007","2015/11/2",20
"104","Product_0495","Whse_A","Category_015","2012/2/14",3
"105","Product_1378","Whse_J","Category_019","2012/12/18",5000
"106","Product_1466","Whse_J","Category_019","2013/10/4",2000
"107","Product_0165","Whse_J","Category_021","2012/7/26",5
"108","Product_1431","Whse_C","Category_019","2015/9/18",1000
"109","Product_1001","Whse_S","Category_028","2012/10/11",14000
"110","Product_0620","Whse_J","Category_001","2014/9/16",2
"111","Product_2082","Whse_S","Category_009","2014/10/23",100
"112","Product_1241","Whse_J","Category_019","2013/7/1",NA
"113","Product_2142","Whse_S","Category_009","2014/11/17",300
"114","Product_1139","Whse_J","Category_009","2013/2/27",50
"115","Product_1825","Whse_J","Category_006","2014/8/12",5000
"116","Product_1818","Whse_J","Category_006","2016/7/22",5000
"117","Product_0337","Whse_J","Category_021","2014/3/18",2
"118","Product_1275","Whse_J","Category_019","2015/2/24",100
"119","Product_1359","Whse_J","Category_019","2015/2/23",1000
"120","Product_0033","Whse_S","Category_005","2013/6/7",10000
"121","Product_1985","Whse_J","Category_005","2016/11/25",400
"122","Product_1498","Whse_J","Category_019","2015/6/24",50
"123","Product_1245","Whse_C","Category_019","2013/8/12",300000
"124","Product_2167","Whse_A","Category_024","2016/7/15",6
"125","Product_1451","Whse_J","Category_019","2015/6/5",20000
"126","Product_0115","Whse_S","Category_032","2013/2/21",60
"127","Product_1250","Whse_J","Category_019","2015/5/25",16000
"128","Product_0001","Whse_J","Category_005","2015/3/10",300
"129","Product_0250","Whse_S","Category_007","2013/4/3",60
"130","Product_1661","Whse_J","Category_026","2016/6/20",5
"131","Product_1513","Whse_A","Category_019","2014/2/7",0
"132","Product_1287","Whse_J","Category_019","2015/9/1",20000
"133","Product_0788","Whse_J","Category_001","2013/12/16",10
"134","Product_0407","Whse_J","Category_019","2013/3/11",25
"135","Product_1381","Whse_J","Category_019","2012/11/27",1000
"136","Product_2021","Whse_J","Category_005","2015/1/7",300
"137","Product_1360","Whse_J","Category_019","2013/4/30",1000
"138","Product_1986","Whse_J","Category_005","2014/11/28",200
"139","Product_0815","Whse_J","Category_001","2012/7/18",1
"140","Product_1429","Whse_J","Category_019","2015/4/3",1000
"141","Product_0025","Whse_J","Category_005","2013/4/19",3000
"142","Product_0418","Whse_A","Category_019","2012/10/26",4500
"143","Product_0973","Whse_A","Category_028","2014/7/4",500
"144","Product_0869","Whse_S","Category_005","2013/4/22",1500
"145","Product_1240","Whse_J","Category_019","2015/2/13",100
"146","Product_1382","Whse_J","Category_019","2016/11/24",15000
"147","Product_0519","Whse_S","Category_022","2012/9/27",10
"148","Product_1378","Whse_J","Category_019","2013/8/22",200
"149","Product_1382","Whse_J","Category_019","2012/11/26",10000
"150","Product_1554","Whse_J","Category_019","2012/4/12",5000
"151","Product_0122","Whse_A","Category_021","2015/2/2",250
"152","Product_1381","Whse_J","Category_019","2014/5/8",1000
"153","Product_1669","Whse_J","Category_026","2014/3/27",5
"154","Product_1419","Whse_A","Category_019","2015/2/5",100
"155","Product_2167","Whse_A","Category_024","2012/11/14",40
"156","Product_1392","Whse_J","Category_019","2012/4/8",1000
"157","Product_1371","Whse_J","Category_019","2013/5/29",300
"158","Product_1451","Whse_J","Category_019","2014/6/3",5000
"159","Product_0826","Whse_J","Category_008","2015/12/7",2
"160","Product_1823","Whse_C","Category_006","2015/10/14",25000
"161","Product_0719","Whse_J","Category_001","2015/7/8",10
"162","Product_0937","Whse_A","Category_006","2014/6/25",1000
"163","Product_1941","Whse_J","Category_001","2016/10/4",1
"164","Product_2110","Whse_A","Category_009","2015/4/13",60
"165","Product_0226","Whse_S","Category_007","2013/10/23",1776
"166","Product_1639","Whse_J","Category_019","2012/9/18",500
"167","Product_1603","Whse_S","Category_030","2013/10/1",1000
"168","Product_0987","Whse_A","Category_028","2015/6/3",100
"169","Product_0618","Whse_J","Category_001","2013/5/22",200
"170","Product_0206","Whse_A","Category_007","2014/6/3",50
"171","Product_1262","Whse_J","Category_019","2013/9/18",2000
"172","Product_0792","Whse_J","Category_001","2015/6/19",50
"173","Product_1464","Whse_A","Category_019","2014/6/17",300
"174","Product_0333","Whse_J","Category_021","2016/1/6",50
"175","Product_1577","Whse_S","Category_019","2013/12/23",50000
"176","Product_0896","Whse_C","Category_023","2016/10/14",54
"177","Product_1416","Whse_A","Category_019","2013/10/28",0
"178","Product_1766","Whse_J","Category_005","2013/12/26",1000
"179","Product_1377","Whse_J","Category_019","2016/8/29",2800
"180","Product_1356","Whse_J","Category_019","2015/5/19",1000
"181","Product_2005","Whse_J","Category_005","2016/11/1",1000
"182","Product_1359","Whse_J","Category_019","2013/8/20",3000
"183","Product_1992","Whse_J","Category_005","2016/5/20",100
"184","Product_1377","Whse_J","Category_019","2016/7/26",10000
"185","Product_2111","Whse_A","Category_009","2015/5/21",500
"186","Product_0100","Whse_C","Category_019","2015/2/25",2000
"187","Product_1513","Whse_A","Category_019","2015/8/13",500
"188","Product_2118","Whse_S","Category_009","2015/10/5",2622
"189","Product_0412","Whse_J","Category_007","2016/9/12",10
"190","Product_1478","Whse_J","Category_019","2016/6/21",500
"191","Product_0036","Whse_S","Category_005","2012/8/17",500
"192","Product_1158","Whse_J","Category_006","2012/11/30",10000
"193","Product_1715","Whse_J","Category_026","2013/4/25",30
"194","Product_2039","Whse_J","Category_011","2013/2/25",1
"195","Product_1496","Whse_A","Category_019","2012/7/19",3000
"196","Product_0826","Whse_J","Category_008","2015/3/23",0
